seq	initial_primary	initial_secondary	final_primary	final_secondary	classification_change	reason_for_change	path
0001	kernel_ddd	ddd;domain_model;governance;evidence;provenance;validation	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/2026-08-02-knowledgeos-architecture-baseline.md
0002	meta_research	kernel;ddd;governance;evidence;provenance;validation	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Architecture_Validation_Matrix.md
0003	meta_research	governance;evidence;provenance;validation;contradiction;ddd;domain_model	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Architecture_Synthesis_Matrix.md
0004	meta_research	evidence;validation;governance;provenance	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Architecture_Health_Dashboard.md
0005	kernel_ddd	kernel;governance;evidence;validation;ddd;invariants	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Architecture_Fitness_Assessment.md
0006	meta_research	governance;evidence;validation;contradiction;ddd;provenance	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_ARB_Decision_Docket.md
0007	meta_research	evidence;governance;validation	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/AI_Workflow_Observation_Log.md
0008	experimental	validation;kernel;evidence;provenance;governance;ddd;contradiction;invariants	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/2026-08-02-mvk-bootstrap-validation-report.md
0009	kernel_ddd	ddd;domain_model;governance;evidence;provenance;contradiction;meta_research	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/2026-08-02-knowledgeos-strategic-domain-discovery.md
0010	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/2026-08-02-knowledgeos-strategic-boundary-consolidation.md
0011	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/2026-08-02-knowledgeos-product-boundary-discovery.md
0012	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/2026-08-02-knowledgeos-architecture-consolidation.md
0013	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Meta_Model.md
0014	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Lifecycle_Gap_Analysis.md
0015	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Independent_Review_Phase_B.md
0016	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Governed_Retrieval_Positioning_Validation.md
0017	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_External_Positioning_Comparison_Matrix.md
0018	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Engineering_Progression_Model.md
0019	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Engineering_Knowledge_Landscape.md
0020	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Engineering_Knowledge_Domain_Model.md
0021	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Engineering_Improvement_Cycle.md
0022	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Engineering_Decision_Model_Validation.md
0023	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Engineering_Decision_Model_Discovery.md
0024	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Domain_Model_Falsification_Report.md
0025	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Deferred_Architecture_Register.md
0026	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Relationship_Validation_Matrix.md
0027	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Relationship_Ontology.md
0028	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Recommendation_Lifecycle_Discovery.md
0029	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Platform_Discovery_Coverage_Map.md
0030	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Platform_Capability_Model.md
0031	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Phase_B_Evidence_Reconciliation.md
0032	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Operational_Validation_Report.md
0033	-	-	PENDING_GLOBAL_RECLASS	PENDING_GLOBAL_RECLASS	PENDING	PENDING	docs/knowledgeos/KnowledgeOS_Operational_Knowledge_Principles.md
