seq	bytes	mtime	ext	class	path	corpus_tier
0001	20733	2026-08-05	md	TEXT	docs/knowledgeos/2026-08-02-knowledgeos-architecture-baseline.md	OUT_OF_SCOPE_ROOT
0002	12566	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Architecture_Validation_Matrix.md	OUT_OF_SCOPE_ROOT
0003	13947	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Architecture_Synthesis_Matrix.md	OUT_OF_SCOPE_ROOT
0004	6185	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Architecture_Health_Dashboard.md	OUT_OF_SCOPE_ROOT
0005	17829	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Architecture_Fitness_Assessment.md	OUT_OF_SCOPE_ROOT
0006	17740	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_ARB_Decision_Docket.md	OUT_OF_SCOPE_ROOT
0007	2134	2026-08-05	md	TEXT	docs/knowledgeos/AI_Workflow_Observation_Log.md	OUT_OF_SCOPE_ROOT
0008	18573	2026-08-05	md	TEXT	docs/knowledgeos/2026-08-02-mvk-bootstrap-validation-report.md	OUT_OF_SCOPE_ROOT
0009	23691	2026-08-05	md	TEXT	docs/knowledgeos/2026-08-02-knowledgeos-strategic-domain-discovery.md	OUT_OF_SCOPE_ROOT
0010	23119	2026-08-05	md	TEXT	docs/knowledgeos/2026-08-02-knowledgeos-strategic-boundary-consolidation.md	OUT_OF_SCOPE_ROOT
0011	27241	2026-08-05	md	TEXT	docs/knowledgeos/2026-08-02-knowledgeos-product-boundary-discovery.md	OUT_OF_SCOPE_ROOT
0012	21640	2026-08-05	md	TEXT	docs/knowledgeos/2026-08-02-knowledgeos-architecture-consolidation.md	OUT_OF_SCOPE_ROOT
0013	15020	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Meta_Model.md	OUT_OF_SCOPE_ROOT
0014	13718	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Lifecycle_Gap_Analysis.md	OUT_OF_SCOPE_ROOT
0015	14837	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Independent_Review_Phase_B.md	OUT_OF_SCOPE_ROOT
0016	10950	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Governed_Retrieval_Positioning_Validation.md	OUT_OF_SCOPE_ROOT
0017	9768	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_External_Positioning_Comparison_Matrix.md	OUT_OF_SCOPE_ROOT
0018	16227	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Engineering_Progression_Model.md	OUT_OF_SCOPE_ROOT
0019	25779	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Engineering_Knowledge_Landscape.md	OUT_OF_SCOPE_ROOT
0020	23501	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Engineering_Knowledge_Domain_Model.md	OUT_OF_SCOPE_ROOT
0021	3161	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Engineering_Improvement_Cycle.md	OUT_OF_SCOPE_ROOT
0022	12389	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Engineering_Decision_Model_Validation.md	OUT_OF_SCOPE_ROOT
0023	15363	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Engineering_Decision_Model_Discovery.md	OUT_OF_SCOPE_ROOT
0024	13630	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Domain_Model_Falsification_Report.md	OUT_OF_SCOPE_ROOT
0025	21073	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Deferred_Architecture_Register.md	OUT_OF_SCOPE_ROOT
0026	11792	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Relationship_Validation_Matrix.md	OUT_OF_SCOPE_ROOT
0027	17525	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Relationship_Ontology.md	OUT_OF_SCOPE_ROOT
0028	9444	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Recommendation_Lifecycle_Discovery.md	OUT_OF_SCOPE_ROOT
0029	10767	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Platform_Discovery_Coverage_Map.md	OUT_OF_SCOPE_ROOT
0030	24068	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Platform_Capability_Model.md	OUT_OF_SCOPE_ROOT
0031	14731	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Phase_B_Evidence_Reconciliation.md	OUT_OF_SCOPE_ROOT
0032	9593	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Operational_Validation_Report.md	OUT_OF_SCOPE_ROOT
0033	9015	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Operational_Knowledge_Principles.md	OUT_OF_SCOPE_ROOT
0034	20388	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Operational_Evidence_Register.md	OUT_OF_SCOPE_ROOT
0035	18582	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Ontology_Discovery.md	OUT_OF_SCOPE_ROOT
0036	17556	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Ontology_Cross_Product_Validation.md	OUT_OF_SCOPE_ROOT
0037	17490	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Ontology_Architecture_Classification.md	OUT_OF_SCOPE_ROOT
0038	17047	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Mission_Discovery.md	OUT_OF_SCOPE_ROOT
0039	13509	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Meta_Model_Discovery.md	OUT_OF_SCOPE_ROOT
0040	804	2026-08-05	md	TEXT	docs/knowledgeos/README.md	OUT_OF_SCOPE_ROOT
0041	13537	2026-08-05	md	TEXT	docs/knowledgeos/OKF_KnowledgeOS_Architecture_Synthesis.md	OUT_OF_SCOPE_ROOT
0042	22323	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Vision_Mission_Clarification.md	OUT_OF_SCOPE_ROOT
0043	10223	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Viewpoint_Ownership_Discovery.md	OUT_OF_SCOPE_ROOT
0044	24945	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Strategic_Architecture_Discovery.md	OUT_OF_SCOPE_ROOT
0045	13196	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Semantic_Architecture_Reconciliation.md	OUT_OF_SCOPE_ROOT
0046	11606	2026-08-05	md	TEXT	docs/knowledgeos/KnowledgeOS_Research_Backlog.md	OUT_OF_SCOPE_ROOT
0047	12452	2026-08-19	md	TEXT	docs/knowledgeos/brainstorming/20260819-104748-ai-engineering-lifecycle-five-responsibilities-governance.md	PRIMARY
0048	52029	2026-08-21	png	IMAGE	docs/knowledgeos/brainstorming/_misc/20260821-150830-diagram.png	PRIMARY
0049	9121	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260816-204714-track2-eks-semantic-discovery.md	PRIMARY
0050	13902	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260817-145153-ai-engineering-platform-6-role-model.md	PRIMARY
0051	13972	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260818-213516-lcom4-multi-language-binding.md	PRIMARY
0052	55141	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260819-092449-research-on-role-separation.md	PRIMARY
0053	9192	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260819-104802-delegation-map-domain-owners.md	PRIMARY
0054	6904	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260819-104804-voting-election-outcome-refinement.md	PRIMARY
0055	24775	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260819-104823-four-session-role-model-refinement.md	PRIMARY
0056	14754	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260819-104830-election-only-mode-readiness.md	PRIMARY
0057	20172	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260819-204018-kos-product-architecture-v2.md	PRIMARY
0058	10847	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260819-204431-kos-ddd-architecture-review-v3.md	PRIMARY
0059	10921	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260819-205541-kos-ddd-architecture-v3-duplicate.md	PRIMARY
0060	20500	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260819-205757-ddd-correction-verification-verdict.md	PRIMARY
0061	19159	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260819-220806-kos-3-0-state-durability-ddd-boundary.md	PRIMARY
0062	26406	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260819-220924-spring-di-principle-for-kos.md	PRIMARY
0063	14082	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260820-115444-poa-vs-ddd-decision-hierarchy.md	PRIMARY
0064	14063	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260820-123902-kos-design-patterns.md	PRIMARY
0065	17289	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260820-231930-event-driven-architecture-refinement.md	PRIMARY
0066	13541	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260821-120633-kos-state-durability-assurance-integration.md	PRIMARY
0067	222924	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260821-120810-kos-governance-role-cost-optimization.md	PRIMARY
0068	9171	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260821-121929-business-translator-capability.md	PRIMARY
0069	17186	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260821-142748-event-driven-domain-loop-positioning.md	PRIMARY
0070	7952	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/_misc/20260819-221159-digitalization-robot-vision.md	PRIMARY
0071	33184	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/_misc/20260819-224159-linux-analogy-kernel-os-model.md	PRIMARY
0072	10863	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/_misc/20260819-225329-ip-protection-secrecy-strategy.md	PRIMARY
0073	5932	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/_misc/20260819-225332-kos-ipo-stock-market-variant.md	PRIMARY
0074	21656	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/_misc/20260819-225858-kos-ipo-stock-market-path.md	PRIMARY
0075	23563	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260821-2032-how-to-change-eks-into-knowledgeos-kernel.md	PRIMARY
0076	46345	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260821-2033-what-eks-is-today.md	PRIMARY
0077	55197	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260801-1231-eks-current-architecture-baseline.md	PRIMARY
0078	17443	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260821-2108-how-to-integrate-current-eks-into-knowledgeos-kernel.md	PRIMARY
0079	9081	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260821-2325-complex-numbers-in-knowledgeos-modeling-tool.md	PRIMARY
0080	83517	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/20260821-2351-independent-external-research-review-organizational-knowledge-systems.md	PRIMARY
0081	15964	2026-08-21	md	TEXT	docs/knowledgeos/brainstorming/_misc/20260821-2353-deepseek-investigation-eks-pks-aip-current-architecture.md	PRIMARY
0082	14852	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0021-mathematical-models-for-knowledgeos-where-mathematics-belongs.md	PRIMARY
0083	26035	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0113-research-review-expression-meaning-invariance.md	PRIMARY
0084	25101	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0121-knowledgeos-zero-concept-research-extraction-prompt.md	PRIMARY
0085	6440	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0123-knowledgeos-consolidation-review-kernel-boundary-filter.md	PRIMARY
0086	10331	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0135-knowledgeos-conceptual-foundation-relationship-invariant-preservation.md	PRIMARY
0087	15158	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0146-knowledgeos-epistemic-pipeline-veda-vedanta-analysis.md	PRIMARY
0088	24687	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0159-epistemic-operating-system-research-foundations.md	PRIMARY
0089	13555	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0200-knowledgeos-vs-epistemic-os-layer-separation-review.md	PRIMARY
0090	20569	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0203-truth-seeking-machine-knowledgeos-core-question-refinement.md	PRIMARY
0091	18203	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0207-knowledgeos-character-definition-strategic-synthesis.md	PRIMARY
0092	23540	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0218-tarka-shastra-nyaya-epistemology-research-extraction.md	PRIMARY
0093	8900	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0222-knowledgeos-reasoning-character-after-tarka-analysis.md	PRIMARY
0094	21074	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0225-knowledgeos-extraction-navya-nyaya-relations-context.md	PRIMARY
0095	9528	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0232-knowledgeos-extraction-tarka-nyaya-reasoning-lifecycle.md	PRIMARY
0096	9286	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0234-knowledgeos-vyapti-inference-warranting-relation-layer.md	PRIMARY
0097	8145	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0239-knowledgeos-pramana-registry-nyaya-sutra-extraction.md	PRIMARY
0098	7952	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0241-knowledgeos-semantic-kernel-matilal-word-and-world.md	PRIMARY
0099	9801	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0243-knowledgeos-hetvabhasa-reasoning-anti-corruption-layer.md	PRIMARY
0100	8815	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0249-knowledgeos-tarka-sangraha-ontology-pramana-reasoning.md	PRIMARY
0101	9892	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0252-knowledgeos-keith-indian-logic-atomism-ontology-epistemology.md	PRIMARY
0102	8863	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0254-knowledgeos-chakra-architecture-transformation-pipeline.md	PRIMARY
0103	9269	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0257-knowledgeos-cognitive-epistemology-architecture-yoga-sutra.md	PRIMARY
0104	9339	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0258-knowledgeos-abhava-absence-structured-knowledge-lens.md	PRIMARY
0105	8544	2026-08-22	md	TEXT	docs/knowledgeos/brainstorming/20260822-0302-knowledgeos-final-character-synthesis.md	PRIMARY
